date	downloads
16.06.2020	0
17.06.2020	6.5
18.06.2020	7.9
19.06.2020	9.6
20.06.2020	10.6
22.06.2020	11.8
23.06.2020	12.2
24.06.2020	12.6
25.06.2020	13
26.06.2020	13.3
29.06.2020	14
30.06.2020	14.1
01.07.2020	14.3
02.07.2020	14.4
03.07.2020	14.6
06.07.2020	15
08.07.2020	15.2
09.07.2020	15.4
13.07.2020	15.6
14.07.2020	15.7
16.07.2020	15.8
17.07.2020	15.9
20.07.2020	16.1
27.07.2020	16.4
28.07.2020	16.4
04.08.2020	16.6
11.08.2020	16.9
17.08.2020	17.2
25.08.2020	17.5
01.09.2020	17.8
08.09.2020	18
15.09.2020	18.2
22.09.2020	18.4
