Location,Name,Maker/Deployer,Users,Penetration,Target Penetration,Tech,Voluntary,Limited,Data destruction,Minimized,Transparent,Centralized or decentralized,Status,Notes,Additional Sources,Additional Sources
Algeria,Algeria's App,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Launched,Algeria's app was investigated by Amnesty International.,https://www.bbc.com/news/world-middle-east-53052395,
Australia,COVIDSafe,Australian government,6440000,25.76%,TBD,Bluetooth,Y,Y,Y,Y,N,Centralized,Launched,Australian experts have criticized the government for a lack of transparency and non-responsiveness to privacy issues.,,
Austria,Stopp Corona,Red Cross,600000,6.77%,TBD,"Bluetooth, Google/Apple",Y,Y,Y,Y,Y,Decentralized,Launched,Austria was one of the first major European nations to align with the Google/Apple API.,https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,https://www.roteskreuz.at/site/faq-app-stopp-corona/datenschutzinformation-zur-stopp-corona-app/
Bahrain,BeAware,Information & eGovernment Authority,400000,25.49%,TBD,"Bluetooth, Location",Y,Y,TBD,N,N,Centralized,Launched,"Though 25% of the country has downloaded BeAware, there is little public information about the app.",https://www.itv.com/news/2020-05-05/global-coronavirus-death-toll-tops-quarter-of-a-million/,https://www.amnesty.org/en/latest/news/2020/06/bahrain-kuwait-norway-contact-tracing-apps-danger-for-privacy/
Belgium,Belgium's app*,Interfederal Committee Testing and Tracing,NA,NA,TBD,"Bluetooth, Google/Apple, DP3T",Y,TBD,TBD,TBD,TBD,Decentralized,In Dev,The Belgium app is set to be released by September.,https://www.brusselstimes.com/all-news/belgium-all-news/117398/belgian-contact-tracing-app-to-be-developed-by-september/,
Bulgaria,ViruSafe,Scalefocus and the Bulgarian Ministry,55000,0.79%,TBD,Location,Y,Y,Y,N,Y,Centralized,Launched,Bulgaria launched thier app in early April and began lifting movement restrictions in early May.,https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,
Canada,COVID Alert*,Shopify/Blackberry,NA,NA,TBD,"Bluetooth, Google/Apple",Y,Y,Y,Y,Y,Decentralized,In Dev,"Canada's app is set to role out in Ontario in July, and expand to the rest of the country by late summer.",https://business.financialpost.com/technology/shopify-blackberry-contact-tracing-app-tested-ontario?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter,https://thestarphoenix.com/technology/tech-news/shopify-blackberry-and-ontario-to-help-canada-launch-contact-tracing-app/wcm/bdc8cef1-734b-4d89-b098-ffcf7dfce34b/
China,Chinese health code system,"Alipay, Hangzhou‰Ûªs Communist Party, Chinese national gov't",TBD,TBD,TBD,"Location, Data mining",N,N,N,N,N,Centralized,Launched,There is very little information available to the public about how China's technology works.,https://www.nytimes.com/2020/03/01/business/china-coronavirus-surveillance.html,https://mp.weixin.qq.com/s/amB7fBxLw8KSR9DcUsbTWg
Cyprus,CovTracer,Research Centre of Excellence on Information and Communication Technologies (RISE),9000,0.77%,50%,"Location, GPS",Y,N,Y,Y,Y,Decentralized,Launched,"The Cypriot app was one of the earliest efforts to launch, all the way back in February.",https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,https://www.fhi.no/nyheter/2020/vi-trenger-flere-smittestopp-brukere/
Czech Republic,eRouska,Ministry of Health,277000,2.60%,TBD,Bluetooth,Y,Y,Y,Y,Y,Decentralized,Launched,"eRouska is one part of the Czech government‰Ûªs larger ""smart quarantine"" plan",https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,https://www.zdnet.com/article/mobile-apps-and-contact-tracing-these-tools-are-helping-to-end-the-lockdown/
